index,title,temp,time,summary,link
361,,"국회, 법사위 등 6개 상임위원장만 우선 선출",1시간전,[앵커] 국회에서 열린 본회의에서는 6개 상임위원장 선출이 먼저 이뤄졌습니다. 여야의 첨예한 쟁점이었던 법사위원장은 결국 더불어 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=422&aid=0000433419
362,,인천에서 코로나19 첫 사망자 발생,1시간전,[서울신문] 인천에서 코로나19 관련 첫 사망자가 발생했다. 인천시 남동구는 지난 12일 확진판정을 받고 가천대길병원에 입원 중 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=081&aid=0003099200
363,,韓 참여 세계 첫 AI 협의체 GPAI 출범... 중국 제외,1시간전,코로나19 대응 포함 AI 분야별 전문가그룹 운영… 미국 등 14개국으로 창립 과학기술정보통신부는 ‘인공지능(AI)에 대한 글로 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=366&aid=0000539156
364,,윤호중 법사위원장 “공정·정의 위해 최선…검찰 개혁 완수”,1시간전,[서울신문] 민주 ‘사법개혁’ 입법 추진 탄력 더불어민주당이 15일 국회 법제사법위원장을 선출함에 따라 향후 진행될 고위공직자범 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=081&aid=0003099199
365,,AI 국제협의체 ‘GPAI’ 창립…한국·미국 등 15개국 참여,1시간전,과학기술정보통신부는 책임성 있는 인공지능(AI)의 발전과 활용을 촉진하기 위한 첫 국제협의체인 '인공지능에 대한 글로벌 파트너십 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=056&aid=0010852912
366,,한국이 참여한 ‘AI 글로벌 협의체’ 창립..민간 전문가도 선임,1시간전,[이데일리 김현아 기자] 우리나라가 창립 회원국으로 참여하는 ‘인공지능에 대한 글로벌 파트너십(GPAI)’ 협의체가 15일(우리 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=018&aid=0004665005
367,,ITALY MONUMENTS STATUE MONTANELLI,1시간전,Clean-up crew removes graffiti from statue of controversial Italian jou …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008067975
368,,INDIA PANDEMIC CORONAVIRUS COVID19,1시간전,Marriage amid coronavirus pandemic in Bhopal Bride Angoori (L) and groo …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008067974
369,,INDIA PANDEMIC CORONAVIRUS COVID19,1시간전,Marriage amid coronavirus pandemic in Bhopal Bride Angoori (R) wears a  …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008067973
370,,INDIA PANDEMIC CORONAVIRUS COVID19,1시간전,Marriage amid coronavirus pandemic in Bhopal Bride Angoori (L) wears a  …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008067972
